filename,resolution,format,status
android-icon-beta.svg,500x500,SVG,✓ Replaced
android-icon-dev.svg,500x500,SVG,✓ Replaced
android-icon-pr.svg,500x500,SVG,✓ Replaced
android-icon-release.svg,500x500,SVG,✓ Replaced
apple-touch-icon-beta.svg,500x500,SVG,✓ Replaced
apple-touch-icon-dev.svg,500x500,SVG,✓ Replaced
apple-touch-icon-pr.svg,500x500,SVG,✓ Replaced
apple-touch-icon-release.svg,500x500,SVG,✓ Replaced
beta\android-chrome-192x192-6-2018.png,192x192,PNG,✓ Replaced
beta\android-chrome-512x512-6-2018.png,512x512,PNG,✓ Replaced
beta\android-chrome-mask-512x512-6-2018.png,512x512,PNG,✓ Replaced
beta\apple-touch-icon-6-2018.png,180x180,PNG,✓ Replaced
beta\apple-touch-icon.png,180x180,PNG,✓ Replaced
beta\favicon-16x16.png,16x16,PNG,✓ Replaced
beta\favicon-32x32.png,32x32,PNG,✓ Replaced
beta\favicon-96x96.png,96x96,PNG,✓ Replaced
dev\android-chrome-192x192-6-2018.png,192x192,PNG,✓ Replaced
dev\android-chrome-512x512-6-2018.png,512x512,PNG,✓ Replaced
dev\android-chrome-mask-512x512-6-2018.png,512x512,PNG,✓ Replaced
dev\apple-touch-icon-6-2018.png,180x180,PNG,✓ Replaced
dev\apple-touch-icon.png,180x180,PNG,✓ Replaced
dev\favicon-16x16.png,16x16,PNG,✓ Replaced
dev\favicon-32x32.png,32x32,PNG,✓ Replaced
dev\favicon-96x96.png,96x96,PNG,✓ Replaced
favicon-beta.svg,921x921,SVG,✓ Replaced
favicon-dev.svg,921x921,SVG,✓ Replaced
favicon-pr.svg,921x921,SVG,✓ Replaced
favicon-release.svg,921x921,SVG,✓ Replaced
pr\android-chrome-192x192-6-2018.png,192x192,PNG,✓ Replaced
pr\android-chrome-512x512-6-2018.png,512x512,PNG,✓ Replaced
pr\android-chrome-mask-512x512-6-2018.png,512x512,PNG,✓ Replaced
pr\apple-touch-icon-6-2018.png,180x180,PNG,✓ Replaced
pr\apple-touch-icon.png,180x180,PNG,✓ Replaced
pr\favicon-16x16.png,16x16,PNG,✓ Replaced
pr\favicon-32x32.png,32x32,PNG,✓ Replaced
pr\favicon-96x96.png,96x96,PNG,✓ Replaced
release\android-chrome-192x192-6-2018.png,192x192,PNG,✓ Replaced
release\android-chrome-512x512-6-2018.png,512x512,PNG,✓ Replaced
release\android-chrome-mask-512x512-6-2018.png,512x512,PNG,✓ Replaced
release\apple-touch-icon-6-2018.png,180x180,PNG,✓ Replaced
release\apple-touch-icon.png,180x180,PNG,✓ Replaced
release\favicon-16x16.png,16x16,PNG,✓ Replaced
release\favicon-32x32.png,32x32,PNG,✓ Replaced
release\favicon-96x96.png,96x96,PNG,✓ Replaced
splash.svg,750x750,SVG,✓ Replaced
splash\splash-1125x2436.png,1125x2436,PNG,✓ Replaced
splash\splash-1136x640.png,1136x640,PNG,✓ Replaced
splash\splash-1242x2208.png,1242x2208,PNG,✓ Replaced
splash\splash-1242x2688.png,1242x2688,PNG,✓ Replaced
splash\splash-1334x750.png,1334x750,PNG,✓ Replaced
splash\splash-1536x2048.png,1536x2048,PNG,✓ Replaced
splash\splash-1668x2224.png,1668x2224,PNG,✓ Replaced
splash\splash-1668x2388.png,1668x2388,PNG,✓ Replaced
splash\splash-1792x828.png,1792x828,PNG,✓ Replaced
splash\splash-2048x1536.png,2048x1536,PNG,✓ Replaced
splash\splash-2048x2732.png,2048x2732,PNG,✓ Replaced
splash\splash-2208x1242.png,2208x1242,PNG,✓ Replaced
splash\splash-2224x1668.png,2224x1668,PNG,✓ Replaced
splash\splash-2388x1668.png,2388x1668,PNG,✓ Replaced
splash\splash-2436x1125.png,2436x1125,PNG,✓ Replaced
splash\splash-2688x1242.png,2688x1242,PNG,✓ Replaced
splash\splash-2732x2048.png,2732x2048,PNG,✓ Replaced
splash\splash-640x1136.png,640x1136,PNG,✓ Replaced
splash\splash-750x1334.png,750x1334,PNG,✓ Replaced
splash\splash-828x1792.png,828x1792,PNG,✓ Replaced
