"Search Term","Description","Logic"
"id","Shows the item with the given inventory item ID. For advanced users.","Matches item ID exactly."
"hash","Shows the items with the given inventory item hash. For advanced users.","Matches item hash exactly."
"sublime","Shows items that are Sublime Engrams.","Matches items that are Sublime Engrams."
"upgraded","Shows items that have enough XP to unlock all their nodes and only need the nodes to be purchased.","Checks if item talent grid is XP complete and not fully complete."
"complete","Shows items that are fully leveled.","Checks if item is fully leveled."
"incomplete","Shows items that are not fully leveled.","Checks if item talent grid exists and is not fully complete."
"xpcomplete","Shows items that cannot have XP put into them (whether or not their upgrades have been unlocked).","Checks if item talent grid is XP complete."
"xpincomplete","Shows items that can still have XP put into them.","Checks if item talent grid is not XP complete."
"needsxp","Shows items that can still have XP put into them.","Checks if item talent grid is not XP complete."
"ascended","Shows items that have an ascend node which have been ascended.","Checks if item talent grid has an ascend node and is ascended."
"unascended","Shows items that have an ascend node which have not been ascended.","Checks if item talent grid has an ascend node and is not ascended."
"tracked","Shows quests/bounties based on their tracked status.","Checks if item is trackable and currently tracked."
"untracked","Shows quests/bounties based on their tracked status.","Checks if item is trackable and not currently tracked."
"reforgeable","Shows items that can be reforged at the Gunsmith.","Checks if item talent grid contains a specific reforge node."
"reforge","Shows items that can be reforged at the Gunsmith.","Checks if item talent grid contains a specific reforge node."
"rerollable","Shows items that can be reforged at the Gunsmith.","Checks if item talent grid contains a specific reforge node."
"reroll","Shows items that can be reforged at the Gunsmith.","Checks if item talent grid contains a specific reforge node."
"engram","Shows engrams.","Checks if item is an engram."
"intellect","Shows armor that has points in the named stat.","Checks if item stats include 'intellect' with value greater than 0."
"discipline","Shows armor that has points in the named stat.","Checks if item stats include 'discipline' with value greater than 0."
"strength","Shows armor that has points in the named stat.","Checks if item stats include 'strength' with value greater than 0."
"glimmeritem","Shows items that are consumables that are related to gaining glimmer.","Checks if item is a glimmer boost or supply."
"glimmerboost","Shows items that are consumables that are related to gaining glimmer.","Checks if item is a glimmer boost."
"glimmersupply","Shows items that are consumables that are related to gaining glimmer.","Checks if item is a glimmer supply."
"ornamentable","Shows items with ornaments and filters for their status.","Checks if item has an ornament node."
"ornamentmissing","Shows items with ornaments and filters for their status.","Checks if item has an ornament node that is not complete."
"ornamentunlocked","Shows items with ornaments and filters for their status.","Checks if item has an ornament node that is complete."
"quality","Shows items based on their total stat quality percentage. 'percentage' is an alias for 'quality'.","Compares item's quality percentage."
"percentage","Shows items based on their total stat quality percentage. 'percentage' is an alias for 'quality'.","Compares item's quality percentage."
"fwc","Item is available from a specific vendor.","Checks if item source hashes include FWC vendor."
"do","Item is available from a specific vendor.","Checks if item source hashes include Dead Orbit vendor."
"nm","Item is available from a specific vendor.","Checks if item source hashes include New Monarchy vendor."
"speaker","Item is available from a specific vendor.","Checks if item source hashes include Speaker vendor."
"variks","Item is available from a specific vendor.","Checks if item source hashes include Variks vendor."
"shipwright","Item is available from a specific vendor.","Checks if item source hashes include Shipwright vendor."
"vanguard","Item is available from a specific vendor.","Checks if item source hashes include Vanguard vendor."
"osiris","Item is available from a specific vendor.","Checks if item source hashes include Osiris vendor."
"xur","Item is available from a specific vendor.","Checks if item source hashes include Xur vendor."
"shaxx","Item is available from a specific vendor.","Checks if item source hashes include Shaxx vendor."
"cq","Item is available from a specific vendor.","Checks if item source hashes include Crucible Quartermaster vendor."
"eris","Item is available from a specific vendor.","Checks if item source hashes include Eris Morn vendor."
"ev","Item is available from a specific vendor.","Checks if item source hashes include Eververse vendor."
"gunsmith","Item is available from a specific vendor.","Checks if item source hashes include Gunsmith vendor."
"vanilla","Available from release <i>vanilla</i>","Checks if item is from year 1."
"trials","Available from release <i>trials</i>","Checks if item is from Trials of Osiris activity."
"ib","Available from release <i>ib</i>","Checks if item is from Iron Banner activity."
"qw","Available from release <i>qw</i>","Checks if item is from Queen's Wrath activity."
"cd","Available from release <i>cd</i>","Checks if item is from Crimson Days activity."
"srl","Available from release <i>srl</i>","Checks if item is from SRL activity."
"vog","Available from release <i>vog</i>","Checks if item is from Vault of Glass activity."
"ce","Available from release <i>ce</i>","Checks if item is from Crota's End activity."
"ttk","Available from release <i>ttk</i>","Checks if item is from The Taken King activity."
"kf","Available from release <i>kf</i>","Checks if item is from King's Fall activity."
"roi","Available from release <i>roi</i>","Checks if item is from Rise of Iron activity."
"wotm","Available from release <i>wotm</i>","Checks if item is from Wrath of the Machine activity."
"poe","Available from release <i>poe</i>","Checks if item is from Prison of Elders activity."
"coe","Available from release <i>coe</i>","Checks if item is from Challenge of the Elders activity."
"af","Available from release <i>af</i>","Checks if item is from Age of Triumph activity."
"dawning","Available from release <i>dawning</i>","Checks if item is from The Dawning activity."
"aot","Available from release <i>aot</i>","Checks if item is from Age of Triumph activity."
"dupe","Shows duplicate items, including reissues","Checks if an item has duplicates."
"dupelower","Duplicate items, including reissues, that are not the highest power dupe. Only one duplicate is chosen as the highest, and the rest are considered lower.","Compares duplicates based on power or combo rank."
"infusionfodder","Shows items that could be infused into lower-power versions of the same item for only glimmer.","Checks if item is infusion fuel and has a lower power duplicate."
"count","Items that have the specified number of duplicates.","Compares the number of duplicates for an item."
"statlower","Shows armor whose stats are strictly lower than another of the same type of armor.","Checks if armor stats are strictly lower than another item of the same type."
"customstatlower","Shows armor whose stats are strictly lower than another of the same type of armor, only taking into account stats that are in any of that class' custom stat total list.","Checks if armor stats are strictly lower for a custom stat."
"crafteddupe","Shows duplicate weapons where at least one of the duplicates is crafted.","Checks if any duplicate is crafted."
"shapeddupe","Shows duplicate weapons where at least one of the duplicates is crafted.","Checks if any duplicate is crafted."
"dupeperks","Shows items whose perks are either a duplicate of, or a subset of, another item of the same type.","Checks if item perks are duplicates or subsets of other item perks."
"dupebest","Shows the best duplicate item based on various criteria (power, tags, masterwork, lock status).","Identifies the "best" duplicate based on defined sorting criteria."
"name","Shows items whose name matches (exactname:) or partially matches (name:) the filter text. Search for entire phrases using quotes.","Performs partial text match on item name."
"exactname","Shows items whose name matches (exactname:) or partially matches (name:) the filter text. Search for entire phrases using quotes.","Performs exact text match on item name."
"notes","Search for items that you have tagged with custom notes.","Performs text search within item notes."
"description","Shows items whose description has a partial match to the filter text. Search for entire phrases using quotes.","Performs partial text match on item description."
"perk","Shows items where one of their perks or mods has a partial match to the filter text in their name or description. Search for entire phrases using quotes.","Performs partial text match on perk/mod names and descriptions."
"perkname","Shows items with a perk or mod whose name matches (exactperk:) or partially matches (perkname:) the filter text. Search for entire phrases using quotes.","Performs partial text match on perk/mod names."
"exactperk","Shows items with a perk or mod whose name matches (exactperk:) or partially matches (perkname:) the filter text. Search for entire phrases using quotes.","Performs exact text match on perk/mod names."
"keyword","Shows items where their name, description, any perk, or any mod has a partial match to the filter text. Search for entire phrases using quotes.","Performs broad partial text match across various item properties."
"tagged","Shows items that have any tag.","Checks if an item has any tag."
"tag","Shows items that have a specific tag.","Matches item tag exactly."
"hasnotes","Show items that have notes applied.","Checks if an item has notes."
"arc","Shows items based on their damage type.","Matches items with Arc damage type."
"solar","Shows items based on their damage type.","Matches items with Solar damage type."
"void","Shows items based on their damage type.","Matches items with Void damage type."
"stasis","Shows items based on their damage type.","Matches items with Stasis damage type."
"strand","Shows items based on their damage type.","Matches items with Strand damage type."
"kinetic","Shows items based on their damage type.","Matches items with Kinetic damage type."
"light","Shows items based on if they are a light or darkness damage type. Light types are arc, solar, and void. Darkness types are stasis and strand.","Checks if item has a light damage type (Arc, Solar, Void)."
"dark","Shows items based on if they are a light or darkness damage type. Light types are arc, solar, and void. Darkness types are stasis and strand.","Checks if item has a dark damage type (Stasis, Strand)."
"titan","Shows items based on their class affinity.","Matches items for Titan class."
"hunter","Shows items based on their class affinity.","Matches items for Hunter class."
"warlock","Shows items based on their class affinity.","Matches items for Warlock class."
"engrams","Shows engrams.","Matches items in Engrams bucket."
"lostitems","Shows armors based on their category.","Matches items in Lost Items bucket."
"messages","Shows armors based on their category.","Matches items in Messages bucket."
"specialorders","Shows armors based on their category.","Matches items in Special Orders bucket."
"kineticslot","Shows armors based on their category.","Matches items in Kinetic Weapons bucket."
"energy","Shows armors based on their category.","Matches items in Energy Weapons bucket."
"power","Shows armors based on their category.","Matches items in Power Weapons bucket."
"helmet","Shows armors based on their category.","Matches items in Helmet bucket."
"gauntlets","Shows armors based on their category.","Matches items in Gauntlets bucket."
"chest","Shows armors based on their category.","Matches items in Chest Armor bucket."
"leg","Shows armors based on their category.","Matches items in Leg Armor bucket."
